iter	Passed	Remaining
539	1129581	543872
540	1131708	541797
541	1133849	539728
542	1135951	537641
543	1138061	535558
544	1140169	533473
545	1142285	531392
546	1144388	529305
547	1146461	527204
548	1148549	525110
549	1150593	522997
550	1152681	520903
551	1154780	518814
552	1156872	516722
553	1158944	514621
554	1161044	512533
555	1163164	510453
556	1165290	508376
557	1167411	506296
558	1169419	504168
559	1171477	502061
560	1173555	499964
561	1175600	497852
562	1177722	495773
563	1179787	493669
564	1181962	491612
565	1184004	489500
566	1186038	487384
567	1188140	485296
568	1190243	483209
569	1192324	481113
570	1194415	479021
571	1196498	476925
572	1198606	474840
573	1200703	472750
574	1202852	470681
575	1204878	468563
576	1206950	466464
577	1209084	464388
578	1211154	462288
579	1213230	460190
580	1215349	458109
581	1217441	456017
582	1219517	453920
583	1221573	451814
584	1223653	449718
585	1225762	447633
586	1227836	445535
587	1229908	443436
588	1232028	441354
589	1234138	439269
590	1236311	437206
591	1238383	435107
592	1240490	433021
593	1242556	430920
594	1244575	428803
595	1246678	426715
596	1248790	424630
597	1250773	422502
598	1252832	420399
599	1254951	418317
600	1257104	416245
601	1259205	414157
602	1261278	412059
603	1263424	409985
604	1265504	407889
605	1267578	405792
606	1269663	403698
607	1271826	401629
608	1273933	399542
609	1276100	397473
610	1278180	395378
611	1280316	393299
612	1282439	391217
613	1284446	389099
614	1286592	387023
615	1288695	384934
616	1290780	382840
617	1292861	380745
618	1294969	378658
619	1297041	376560
620	1299108	374461
621	1301260	372386
622	1303340	370291
623	1305432	368198
624	1307406	366073
625	1309402	363955
626	1311496	361864
627	1313614	359779
628	1315674	357679
629	1317736	355579
630	1319811	353483
631	1321870	351383
632	1324016	349306
633	1326125	347218
634	1328183	345118
635	1330299	343033
636	1332397	340943
637	1334483	338849
638	1336584	336760
639	1338665	334666
640	1340820	332590
641	1342877	330490
642	1344971	328398
643	1347036	326300
644	1349087	324199
645	1351185	322109
646	1353193	319997
647	1355303	317910
648	1357319	315801
649	1359402	313708
650	1361499	311618
651	1363570	309522
652	1365643	307426
653	1367736	305335
654	1369807	303239
655	1371948	301159
656	1374198	299102
657	1376340	297021
658	1378401	294923
659	1380536	292841
660	1382640	290751
661	1384742	288662
662	1386847	286573
663	1388988	284491
664	1391088	282401
665	1393089	280291
666	1395067	278176
667	1397132	276080
668	1399200	273983
669	1401232	271880
670	1403263	269777
671	1405327	267681
672	1407427	265591
673	1409532	263503
674	1411677	261421
675	1413773	259331
676	1415869	257240
677	1417959	255149
678	1419950	253039
679	1422022	250945
680	1424100	248851
681	1426198	246761
682	1428356	244681
683	1430413	242584
684	1432470	240487
685	1434603	238403
686	1436752	236321
687	1438771	234218
688	1440879	232130
689	1442988	230041
690	1445080	227950
691	1447146	225855
692	1449279	223770
693	1451379	221680
694	1453496	219593
695	1455585	217501
696	1457648	215405
697	1459739	213314
698	1461915	211235
699	1463999	209142
700	1466118	207055
701	1468221	204965
702	1470315	202874
703	1472437	200786
704	1474506	198692
705	1476553	196594
706	1478625	194500
707	1480626	192397
708	1482730	190308
709	1484800	188214
710	1486908	186125
711	1488989	184032
712	1491105	181944
713	1493221	179855
714	1495399	177774
715	1497524	175687
716	1499617	173595
717	1501763	171510
718	1503893	169423
719	1505997	167333
720	1508037	165235
721	1510170	163148
722	1512200	161050
723	1514255	158954
724	1516325	156861
725	1518417	154769
726	1520480	152675
727	1522562	150583
728	1524621	148488
729	1526753	146400
730	1528873	144312
731	1530992	142223
732	1533067	140130
733	1535143	138037
734	1537175	135940
735	1539193	133842
736	1541270	131750
737	1543349	129658
738	1545444	127567
739	1547491	125472
740	1549595	123382
741	1551693	121291
742	1553863	119206
743	1555955	117114
744	1558018	115021
745	1560076	112927
746	1562147	110835
747	1564172	108739
748	1566243	106646
749	1568312	104554
750	1570436	102465
751	1572471	100370
752	1574589	98281
753	1576656	96188
754	1578687	94093
755	1580779	92003
756	1582905	89914
757	1585012	87823
758	1587115	85733
759	1589183	83641
760	1591238	81548
761	1593335	79457
762	1595413	77366
763	1597447	75272
764	1599576	73183
765	1601675	71092
766	1603666	68997
767	1605694	66903
768	1607812	64814
769	1609929	62724
770	1612036	60634
771	1614239	58547
772	1616332	56456
773	1618410	54365
774	1620419	52271
775	1622548	50181
776	1624597	48089
777	1626661	45998
